,District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
44,8,7/1/2016,"EOG Resources, Inc.","Kleberg, RJ TR Stillman",258933,261-31544,,505,Tordilla (Deep Cons.),Kenedy,N,N,0,0,"During plugging operations, while attempting to cut and pull with casing jacks the 7-5/8” intermediated casing from approximately 50’ below the surface casing shoe depth (2,516’), the weld between the pulling nipple and the casing broke and the well began to flow. The well was full with 9.5-ppg plugging mud for well control purposes. The well flowed mud, followed by produced water for approximately one hour, until the flowing pressure had decreased enough that the pulling tools could be laid down, and the casinghead and master valve could be bolted back onto the wellhead. The shut-in wellhead pressure was 50-psi and the well is now under control."
45,4,6/29/2016,"Enerquest Operating, LLC",Brysch,258318,255-00718,,1,Panna Maria (Edwards),Karnes,N,Y,0,0,"it appears that during one of Encana’s frac jobs the pump jack on the Brysch #1 locked up and casing pressure increased on the Brysch #1, causing significant increase of water production into tanks, ultimately compromising the stuffing box seals, and water is now leaking through the stuffing box into the air and onto the ground. Enerquest personnel are not able to bring the well under control. Encana has agreed to take over kill operations of the well and is currently moving equipment onto location to perform top-down bullhead kill operation with oil-based mud. Encana states no elevated H2S levels have been detected thus far. H-9 on file from Enerquest shows H2S concentration at 25,600 ppm at 500 mcf/day. Both 100 ppm and 500 ppm ROE do not contain a public area or a public road. At least one nearby house has been evacuated as a precautionary measure. County Sheriff is controlling roadway, no shutdown of any public roads yet."
46,###,6/26/2016,"Equistar Chemicals, LP","Equistar Chemicals, LP",10752,071-81605,,7,Barbers Hill (Storage Cavern),Chambers,Y,N,0,0,pressurized cavern storage well in which communication to the surface has been observed.
47,3,6/2/2016,XTO Energy Inc.,Cordona Lake Consolidated,20582,103-32391,,62W,Cordona Lake,Crane,N,N,0,0,"The top section of the wellhead fell off due to a faulty wellhead per XTO. CO2 is blowing up approximately 20’ into the air with some produced water being released. XTO has well control equipment in route via a third party well control company. H2S and lower explosive limit (LEL) monitors have been placed around the location. None has been detected. The location is under 24 hour supervision. Well control operations are to begin tomorrow morning. Well is located at or near Juan Cordona Lake shoreline, an intermittent or salt lake, which currently contains water."
48,8,5/3/2016,"Mesa Operating, LLC",Jimmy Marshall,,307-31187,813672.0,2,Lohn (Strawn 900),McCulloch,N,N,0,0,"Well blowing mud ~ 7 ft. above the rig floor, with mud around the well bore. They were pulling out of the hole preparing to RIH with casing. TD of the well is 994’. There is 450 of drill collars in the hole with a wiper rubber on the drill pipe. Southwest fluids from Abilene is on location with additional mud to kill the well. Well is located ~ 150’ north of CR 504. This is a single string completion. The cementers and casing are on location."
49,7C,4/6/2016,Apache Corporation,Magpie Unit,,301-32807,812057.0,,Phantom (Wolfcamp),Loving,N,N,0,0,"completed, frac'd, and was blowing the well down when it plugged up. They currently have a rig on well that had been working to unplug the well. The BOP's are shut and the well is blowing out through a connection that failed below the BOP's."
50,8,4/2/2016,Occidental Permian LTD,Gains Wasson Clearfork Unit,63524,165-00783,,6513W,Wasson 72,Gaines,N,N,0,0,"Truck hit an injection line, causing the tubing to split above the wellhead on the water injection well. The water blew above the top of the tubing until a rig was moved in."
51,8A,3/28/2016,Energy Transfer Company,Fields,57629,237-30616,,13,"Bryson, South (Strawn 1700)",Jack,N,N,0,0,. A joint of 2 3/8” tubing that was in the well shot up thru the derrick floor and landed approximately 15' from floor and stuck in to the ground. Rig crew hands were able to shut blind rams on Blow Out Preventer (BOP) with pipe wrenches to gain control of the well. Well was out of control for approximately 10 minutes. NO INJURIES were sustained by anyone.
52,9,3/5/2016,"Chisholm Operating, Inc.",Baugh,19163,413-00444,,,Baugh (Strawn),Schleicher,N,N,0,0,Heater treater pop-off valve did not reset making dump valves inoperable. Fluid began to run out of the top of the heater treater.
1,1,12/15/15,"Eagle Ford Oil Co., Inc.",D.G. Tiller,150807,055-34922,,,Salt Flat (Edwards),Caldwell,N,Y,0,0,Corrosion on a capp on the well caused the blowout.
2,8A,12/07/15,"Tabula Rasa Energy, LLC","Seminole, East (San Andres)",60717,,,,"Seminole, East (San Andres) Unit",Gaines,N,Y,0,0,CR 107 closed and 25 homes evacuated. Workover rig on location and CO2 release.
3,4,12/03/15,"Remora Operating, LLC",Exxon State,274742,131-36942,,1,"Loma Novia, NE. (Wilcox)",Duval,N,N,0,0,Closed US-59. Producing well started blowing out.
4,8A,12/03/15,Occidental Permian Ltd.,Igoe-Smith Operator Area,5947,079-30345,,83,Slaughter,Cochran,N,N,0,0,Well began to be uncontrolled and let off CO2. Well died down and leak has been fixed
5,8,10/20/15,Kinder Morgan Production Co LLC,Goldsmith-Landreth/San Andres/UT,17491,135-30186,,301 W,Goldsmith,Ector,N,N,0,0,CO2 pocket released while BOP was being installed.
6,8,09/30/15,"Anadarko E&P Offshore, LLC",Sievers Unit 2-29,,389-34945,808620.0,1H,Phantom (Wolfcamp),Reeves,N,Y,0,0,During drilling operations gas was encountered. They let the well die down. It happened two more times on the last time a crack formed in the ground surface and began leaking sour gas.
7,8,09/30/15,"Brigham Resources Operating, LLC",Black Stone,,371-39240,791989.0,2H,Hoefs T-K (Wolfcamp),Pecos,N,N,0,0,During frac stimulation intermediate casing ruptured and possibly the surface casing.
8,3,09/12/15,RIO O&G LLC,"Simms, E.F.",19740,291-02918,,2,"Liberty, South",Liberty,N,N,0,0,"Leaking well in sporting center parking lot in Liberty, TX"
9,1,09/02/15,Oilfield Cleantech Water Rec. LLC,Keystone Ranch -A-,5204,163-31545,,3A,Pearsall (Austin Chalk),Frio,N,N,0,0,Well leaking through pinhole. Caused a gas cloud. They were able to kill the well.
10,2,05/19/15,ENCANA OIL & GAS (USA) INC,Dromgoole B Unit,,255-34351,800481.0,8H,Eagleville (Eagle Ford - 2),Karnes,N,N,0,0,Well control issue occurred when running in the hole to tubing. Small trailer park nearby was evacuated
11,5,04/11/15,"Vantage Fort Worth Energy, LLC",LABC South (SA),,439-36981,785117.0,8H,Newark,Tarrant,N,N,0,0,Well developed a leak below the master valve during fracing operations of the first stage of frac.
12,8A,04/07/15,Occidental Permian LTD,Denver Unit,18910,165-33459,,6751WC,Wasson,Gaines,N,Y,0,0,Well had a valve break and blow off. Leaking sour CO2
13,2,03/11/15,"Marathon Oil EF, LLC",Oxford-White Unit,,255-32760,10311.0,1H,Eagleville (Eagle Ford -2),Karnes,N,N,0,0,Blowout while conducting fracing.
14,6,03/28/15,"Triple M. Saltwater Disposal , LP",Petro-Wax LLC,8628,183-89876,,1,East Texas,Gregg,N,N,0,0,"When pulling tubing and packer got stuck. The well began to flow while working packer, blowing oil out into vacuum truck."
15,8,03/02/15,Cimarex Energy Co.,Sawtooth 55-6 (wolfcamp),,389-34046,774660.0,1H,Phantom (Wolfcamp),Reeves,N,N,0,0,Gasket started leaking when they were about to stimulate for fracture.
16,8A,01/06/14,XTO Energy Inc.,Cornell Unit,,501-36527,800727.0,130,Wasson,Yoakum,N,N,0,0,Blowout occurred during the drilling of the surface hole.
17,8,12/16/14,"Panther Exploration, LLC",Wile E. Coyote State 40,,389-34360,788670.0,1H,Phantom (Wolfcamp),Reeves,N,N,0,0,During the flowback and after the frac stimulation the well blewout.
18,8,12/15/14,"Jagged Peak Energy, LLC",Eiland 8-33,,389-34388,790202.0,1H,Phantom (Wolfcamp),Reeves,N,N,0,0,Blowout of oil and frac water when operator drilled out of the fracture stimulation. BOP would not close
19,8A,12/04/14,"Juno Operating Company II, LLC",Clark Wood Ranch,,107-31946,794185.0,K170,Hoople (clear fork),Crosby,N,N,0,0,Jetted too much fluid out fo the pit and the wellhead cracked.
20,8,12/10/14,"Bringham Resources Operating, LLC",Neal Lethco 16,,371-39280,799378.0,,Hoefs T-K (Wolfcamp),Pecos,N,N,0,0,Drilling surface hole and encountered heavy water flow from the Capitan Reef.
21,3,12/11/14,"Comstock Oil & Gas, LP",Kovar 'A',,051-33831,792615.0,1H,Giddings,Burleson,N,N,0,0,Evacuated homes in area and blocked off FM 1361. Gas was leaking from wellhead due to an open production casing valve just below ground level in the cellar.
22,4,11/29/14,AWP Operating Company,Marchbanks,,131-39489,789442.0,4,Tesoro Field,Duval,N,N,0,0,Pulling out pipe and well took a surge.
23,8,11/10/14,Shell Western E&P,Monroe 1-6 WRD,,475-36718,783527.0,3H,Phantom (Wolfcamp),Ward,N,N,0,0,"While on the fourth stage of fracking the 7"" casing parted approx. 10' below the frac tree and brought the tree and 7"" casing out of the hole, where it landed next to the well."
24,8,10/29/14,"Centennial Resource Prod., LLC",Sieber Trust,,389-34354,788330.0,3H,Wolfbone (Trend Area),Reeves,N,N,0,0,"While fracking communication developed between the 5-1/2"" production and 7"" intermediate casing. The wellhead seal failed and began leaking"
25,3,10/27/14,"EOG Resources, Inc.","Wales, Josey",,471-30372,787626.0,1H,"Fort Trinidad, East (Buda)",Walker,N,N,0,0,Well control issues during workover operations
26,1,08/28/14,Dewbre Petroleum Corp,Lawson-Ramsey,267310,17534146,,1,Cabeza Creek (1600),Zavala,N,N,0,0,During plugging and pulling joints the well began to blow dry gas.
27,1,08/30/14,EOG Resources,Guadalupe Unit,15916,17732620,,4H,Eagleville (Eagle Ford -1),Gonzales,N,N,0,0,Fluid started spilling out of the well when BOP did not shut properly.
28,1,07/18/14,CHESAPEAKE OPERATING,Peeler MCM H,,31136102,787517.0,3H,Eagleville (Eagle Ford -1),McMullen,N,N,0,0,Well began flowing brackish water. Killed well with mud.
29,3,06/27/14,Benchmark Oil & Gas Company,"Sunt Oil Company, Etal.",3232,361-30063,,13,Orange,Orange,N,N,0,0,Four families were evacuated from their homes. The well was blowing dry gas.
30,8,06/26/14,Kinder Morgan Production Co LLC,Goldsmith-Landreth/San Andres/UT,17491,135-06193,,249W,Goldsmith,Ector,N,Y,0,0,Injection well started releasing gas at the wellhead. Well was killed with mud.
31,8A,06/26/14,Occidental Permian LTD.,Anton-Irish Clearfork Unit,304,189-30333,,454,Anton-Irish,Lamb,N,N,0,0,After crew has rigged up they installed a BOP. When they came back in the morning the rubbers on the BOP had failed. They killed the well with mud.
32,4,06/04/14,"Chesnut Oil & Gas, Inc.","Smith, Ora L.",112864,409-31773,,8,Midway (miocene) field,San Patricio,N,N,0,0,During State Funded Plugging operations well began flowing.
33,7C,05/30/14,"FIML Natural Resources, LLC",Pecan A,17854,235-35545,,1944C,Spraberry (Trend Area),Irion,N,N,1,0,Pulling tubing and BOP was closed. Removed BOP and the well began to blow.
34,2,05/27/14,Devon Energy Prod.,Kickendahl Unit 1,10625,123-32901,,4H,Eagleville (Eagle Ford - 2),De Witt,N,N,0,0,One family was evacuated from their home. Loss of surface casing integrity caused uncontrolled pressure in the cellar and release of a mix of crude oil and natural gas and produced water.
35,3,05/19/14,"EOG Resources, Inc.",Josey Wales,,471303371,780245.0,1H,Wildcat,Walker,N,N,0,0,Well began blowing rocks and gas during cementing job. Halliburton is the cement contractor
36,4,05/14/14,SM Energy Company,Briscoe G GU5 State (SA),,479-42679,788997.0,62H,Brisco Ranch (Eagleford),Webb,N,N,0,0,During hydraulic fracturing on the 19th of 25 stages fluid was observed flowing from the cellar at a rate of approx. 10-12 bbl per min.
37,7C,05/13/14,J.M. Cox Res.,Benendem/Spraberry Unit,5204,461-80750,,3105,Spraberry (Trend Area),Upton,Y,N,0,0,Well took a kick while pulling out of the holw. Gas reached the diesel engine and caused a runaway.
38,8,05/07/14,Anadarko E&P Onshore LLC,Wiggo 34-177,41553,475-35698,,1H,Phantom (Wolfcamp),Ward,N,N,0,0,Loss of well control during workover.
39,2,04/29/14,"Penn Virgina Oil & Gas, L.P.",Welhausen A,,,771385.0,2H,Eagleville (Eagle Ford -2),Lavaca,N,Y,2,0,"Workover rig and snubbing unit on location to clean out well prior to production test, high pressure from well caused failure of some sealing element causing temporary release of gas. Event caused injurt to two rig hands that work for Nabors. One was life-flighted out and the other transported by ambulance. Well was shut in and is currently under control. Max. est. H2S less than 15ppm."
40,3,04/09/14,Enervest Resources Co.,Danklefs,211969&211970,,,1C & 1T,"Nada, W. (Frio 4400)",Colorado,N,N,0,0,"Well began blowing salt water and after rigging up, it killed the well and released the Baker Model-R packer - pullin six strands. The rams had been changed in the BOP when Mercer Well Service arrived on location, but the rams were mismatched, 1-3/8 on one side and 2-7/8 on the other. They attempted to set the packer, unseccessfully, and attempted to intall the wraparound, which prevented them from being able to drop the string to close the blinds."
41,7B,03/20/14,"Peba Oil & Gas, Inc.",Katmandu,,,780866.0,2,Palo Pinto Co. Reg. (Gas),Palo Pinto,N,N,0,0,The well is venting dry gas to the pit.
42,8,03/17/14,Cimarex Energy Co.,Madison 2-11,,,774656.0,1H,Phantom (Wolfcamp),Reeves,Y,Y,0,0,Rig was circulating fluid and through DV tool at 1665' ti start cementing the second stage of their surface casing when they took a bump of H2S and the well began flowing behind the surface casing.
43,2,01/14/14,Cologne Production Company,"Christian Schaar ""B""",110779,,,,Cologne (2350),Victoria,N,N,0,0,The well came in while they were coming in out of the packer. Well was leaking and blowing water after BOPs were shut in.
44,8A,11/03/13,Saga Petroleum LLC of Colorado,Southwest Garza Unit,,,761331.0,326,Garza,Garza,N,N,0,0,"A gassy water kick was encountered on a recently spudded well at approximately 2300'. The blowout preventor was shut around the drill pipe in order to control the well. While attempting to kill the well, the fluid began to breakout at the surface approximatley 100' feet from the well, outside the surface casing. Ther breakout areas were immediately bermed to contain the fluid."
45,3,10/27/13,SEM Operating Company,Eastham State Prison Farm Lease,,,771261.0,503,"Ft. Trinidad (Glen Rose, Upper)",Houston,N,N,0,0,"While coming out of the hole to do a wiper trip, the well came in on them and was flowing water up to the crown on the mast of the rig and is spraying the location with 5800 mg/l chloride water."
46,1,10/13/13,"EOG Resources, inc.",Dreyer Unit,,,754890.0,14H,Eagleville (Eagle Ford -1),Gonzales,N,Y,0,0,"Flowing back the well and a flange on a 2"" outlet flowline on the well busted and realeased 200bbls of crude oil."
47,2,10/06/13,"Mission River Systems, Inc.",Franklin - Vance Unit,149069,,,1,"Texana, North (Frio 6900)",Jackson,N,N,0,0,The needle valve on top of the tree was cut out.
48,8A,09/24/13,Occidental Permian LTD.,Denver Unit,18910,,,6519WC,Wasson,Gaines,N,N,0,0,Well failed an H-5 (MIT TEST) and workover rig had been moved over well to repair it when it began to release presssure below.
49,8,09/18/13,"Jetta Operating Company, Inc.",Worsham 6-14,42264,,,1H,Two Georges (Bone Spring),Reeves,N,Y,0,0,Well started blowing while fracturing an offset well.
50,3,09/17/13,Prime Operating Company,Moneywort,215683,,,1,Boswell Creek (Frio 3100),Walker,N,N,0,0,Well began to flow back through tubing during P&A procedures. Well is located in National Forest.
51,8A,09/13/13,King Operating Corporation,Emma 76 unit,,,748852.0,1H,"Garden City, S. (Wolfcamp)",Scurry,N,N,0,0,"Prior to running a pump an electrical sumbersible pump on the tubbing at well no. 1H, a pump out plug was set above the perfs. at 6100'."
52,8,09/10/13,Apache Corporation,E.D. Brooks 2,,,759248.0,16,Spraberry (Trend Area),Glasscock,N,N,0,0,Pressure built up while the well was shut down and the rubber packing around the tubbing blew out.
53,2,08/28/13,EOG Resources,Willis Unit,,,762110.0,2H,Eagleville (Eagle Ford -2),Lavaca,Y,Y,0,0,Home 1500' away from well was evacuated. Brief loss during the cement job but they had returns when they bumped the plug. Waited 41/2 hours the well was stable and the personnel started to remove the BOP to set the slips. The well showed no sign of problems until the BOP were unbolted. The well started flowing and the crew tried to stab the BOPS back on but the flow got to strong and teh crew evacuated the location.
54,9,08/25/13,"Brigadier Operating, LLC",Haslsell Ranch,,,765921.0,B8,KRS (Marble Falls),Jack,N,N,0,0,"After tripping out of the hole and laying down all 4 1/2"" drill pipe and 4-6 1/4"" drill collars of a total of 12, the well started to flow."
55,4,08/07/13,"Lewis Petro Properties, Inc.",Gates 10-DR TR2,,,749435.0,87H,Brisco Ranch (Eagleford),Webb,Y,Y,0,0,Well began to flow after the cementing of the production casing. Crew was in the process of rigging down the BOP when the well began to flow.
56,8,07/26/13,Endeavor Energy Resources L.P.,"State ""6""",,,725013.0,1,Wolfbone (Trend Area),Reeves,N,Y,3,0,Workover crew was cleaning out sand and foam from a recently completed well when the bolts on the stripper hear attached to the BOP failed. The workers were peppered with sand and rocks. They were all taken to area hospitals.
57,5,07/25/13,O'Benco,Bonner,,,754066.0,1H,Cheneyboro (Cotton Valley),Navarro,N,Y,0,0,During a fracture treatment the casing parted.
58,8A,06/24/13,"Juno Operating Company II, LLC",Clark Wood Ranch,69994,,,1053,Hoople (clear fork),Crosby,N,N,0,0,Recently drilled well started blowing air and water.
59,1,06/13/13,"Eagle Ford Oil Co., Inc.",Kirk 35H,12956,,,1,Pearsall (Austin Chalk),La Salle,N,N,0,0,Well was brought under control and area will be remediated. Cause unknown.
60,3,06/06/13,"Zachry Exploration, LLC",Tulane Gordon Unit,203729,,,1C,Chesterville,Colorado,N,N,0,0,Well blewout after flowing gas and sand up the casing. Wild Well Control was sent to the site.
61,2,05/20/13,Marathon,Mccoy Unit,9994,,,,Eagleville (Eagle Ford -2),Live Oak,N,Y,0,0,Well control issue while killing the well to put in tubing. Packing gland at wellhead failed.
62,7B,05/03/13,Tarpon Oil & Gas Co.,BOA,,,759345.0,1,"Mineral Wells (Strawn, Lower)",Palo Pinto,N,N,0,0,Well took a kick at the formation
63,9,04/19/13,"Eagleridge Operating, LLC",Smith-Yorlum,,,752567.0,7H,"Newark, East (Barnett Shale)",Denton,N,N,0,0,One nearby house evacuated. Drilling out frac plugs when well released an unexpected amount of produced gas.
64,8,04/10/13,Petrohawk Operating Company,Horseshoe Springs State 113-16,,,757869.0,1V,Phantom (Wolfcamp),Culberson,Y,N,0,0,Sick line deviation survey was being run when the gas blew out.
65,8,04/05/13,Anadarko Petroleum Corporation,Davis 34-169 B unit,,,743818.0,1H,Phantom (Wolfcamp),Ward,N,N,3,1,"During the instalation of a subpump, the well had been killed and the donut lifted when the well blewout."
66,3,03/27/13,Anadarko E&P Onshore LLC,Black Ston,255958,,,2,"Brookeland (Austin Chalk, 8800)",Martin,N,N,0,0,Nearby residents have been evacuated. During swabbing activities well came in.
67,10,02/28/13,Le Norman Operating LLC,Ruth 87,,,751239.0,2H,Hemphill (Granite Wash),Hemphill,N,N,1,0,Production casing parted during fracking. Wild well is on location.
68,2,02/22/13,Rodessa Operating,Fenner,229604,,,1,Grumpy (Frio),Jackson,N,N,0,0,Closed FM 530 from HWY 59 to site (about 10 miles)Well kicked when pulling out tubing.
69,8,02/13/13,Occidental Permian LTD.,Denver Unit,18910,,,4704WC,Wasson,Yoakum,N,N,0,0,Closed 400' of CR37o for an hour. Injection well started flowing oil and water outstide of the casing.
70,8,02/12/13,"XTO Energy, Inc.",Brown-Altman -B-,26010,,,30 WSW,"Emperor, East (Clear Fork, LO)",Winkler,N,Y,0,0,Well started flowing when trying to remove downhole ESP equiment and tubing out to the water supply well.
71,8,02/11/13,"Trilogy Operating, Inc.",Holt Ranch,,,751647.0,6,Spraberry (Trend Area),Martin,N,N,0,0,While fracture stimulating the well the frac head busted.
72,8,01/11/13,Cimarex Energy Co.,Big Silver,,,749632.0,4H,Phantom (Wolfcamp),Ward,N,N,0,0,Valve was accidentally lefy open below groundlevel in the cellar.
73,4,12/13/12,"Webb County Unlimited Resources, LLC",Ortiz,,,749256.0,1,"Dejay (Queen City, UP.) Field",Duval,N,N,0,0,Valve failure caused well to flow.
74,8,11/05/12,Kinder Morgan Production Co. LLC,Sacroc Unit,3137,,,118-01,Kelly-Snyder,Scurry,N,Y,0,0,During plugging operations well started blowing out through the tubing when the tubing was approximately 10 ft. in the air.
75,3,08/25/12,"Sue-Ann Operating , L.C.",Middlebrook lease,23109,,,1,Needville,Fort Bend,Y,N,0,0,Well blew out and caught fire.
76,2,08/20/12,"Maxmin Resources, LLC","Reissig, E.W. Sawyer",74562,,,,"Speaks, N. (3232 SD) Field",Lavaca,N,N,0,0,Well came in after they made a wireline run. They did not us lubricator and had no way to divert or control the well.
77,05/06,07/25/12,"Western Chief Operating, L.L.C.",James Worley,,,733530.0,1,Wildcat,Houston,N,N,0,0,Lost control while fracing the well.
78,10,07/06/12,"Lareda Petroleum, Inc.",Elm Creek Ranch 34,,,735044.0,5H,Begert,Hemphill,Y,N,0,0,Well blew out and caused fire. Well plugged.
79,3,06/19/12,"GEL Petroleum, Inc.",Rycade,,,2978.0,18,Markham,Matagorda,N,N,0,0,Workover rig was pulling rods out when well blew out.
80,8,05/31/12,"EXL Petroleum, LP",Totsy,,,732961.0,201,Wolfbone (Trend Area),Reeves,Y,N,0,0,After setting surface casing they hit a loss circulation zone and had been fighting an uncontrolled flow.
81,8,03/22/12,"Occidental Permian, Ltd.","Holt, O.B. /S/",798,,,4a,"Cowden, North",Ector,N,Y,0,0,Well was leaking through split in the tubing just above the stuffing box. Pumping in brine water to kill the well.
82,9,03/17/12,"EC Stryker, Inc.",Epperson,,,724868.0,1,JMG MAG (Miss),Jack,N,N,0,0,Well received a kick when crew was pulling out a bottom hole.
83,6,03/07/12,"MJ Energy, LLC",Chumley V,,,731220.0,1,Mooringsport (Lime),Shelby,Y,N,0,0,Well blew out and caused fire. Operator pumped in mud to kill the well. Moving rig to bring in new one and is going to try to complete the well.
84,8A,11/07/11,"Occidental Permian, LTD",Wasson ODC Unit,,,60000.0,228,Wasson,Yoakum,N,Y,0,0,Well was leaking outside of wellhead.
85,1,10/23/11,"Slawson Exploration Company, Inc.",Polizer,,,711503.0,1,Polzer,Milam,Y,N,1,0,Blowout occurred while tripping drill string and new bit in hole.
86,8,10/07/11,Endeavor Energy Resources L.P.,"M&M ""5""",,,716972.0,1,J.L.M. (Mississippian),Martin,N,N,0,0,Intersection of Hwy 137 and State Hwy 176 was blocked to traffic from the West. To the East State Hwy 176/FM 3033 was blocked to traffic. The well began to flow during workover.
87,7C,10/03/11,"Telesis Operating Co., Inc",CJM -7-,,,712826.0,4,,Schleicher,N,N,0,0,After perforating at 3850' and pulling out of the hole with the perforating gun to almost the surface the well blew out.
88,8,09/22/11,Eagle Oil & gas Co.,Monroe 39,,,719061.0,2H,Wolfbone (Trend Area),Reeves,N,Y,0,0,"Casing parted during frac job, which caused the wellhead to separate from the well."
89,3,07/14/11,"KD Energy, LLC",Matl Lease,235068,,,,Wildcat,Matagorda,N,N,0,0,Production tubing sanded up and blew out covering A 2 acre area.
90,3,07/09/11,"Milagro Exploration, LLC",H.C. Cockburn lease,,,716641.0,172,Magnet Withers,Wharton,N,N,0,0,Running in hole with surface casing and well started to flow and unload all mud.
91,7C,06/27/11,Endeavor Energy Resources L.P.,Ricker Rupert,,,717481.0,1,Spraberry (Trend Area),Reagan,N,N,0,0,Casing had just been completed and BOP was removed to istall wellhead when well started to kick and blew out from the side.
92,8,06/08/11,"Occidental Permian, LTD",Wasson ODC Unit,60000,,,380,Wassson,Yoakum,N,N,0,0,Loss of well control during workover.
93,6,06/04/11,"NFR Energy, LLC",Foote GU,260612,,,1 H,Carthage (Haynesville Shale),Panola,N,N,0,0,Casing ruptured during fracture stimulation operations.
94,8,05/26/11,"William, Clayton Energy, Inc.",CWEI_CHK 197-13,,,713389.0,1,Wolfbone Trend Area,Reeves,Y,N,0,0,While making a connection the well took a kick.
95,3,04/18/11,Kaiser Francis Oil Co.,Kubala,180765,,,1,Jones Creek (Deep Wilcox),Wharton,N,N,0,0,Well was recently fraced and during flow back/ clean up a leak developed on a Weco connection.
96,3,04/15/11,Jetta Operating Co.,T.R. Booth,,,708647.0,41,Thompson,Fort Bend,N,N,0,0,Hit a gas pocket during drilling and well started blowing gas and mud. Plan is to plug well once all the gas is out of the hole.
97,3,04/01/13,"Choice Exploration, Inc.",Village Creek,,,699228.0,1,Wildcat,Hardin,Y,N,0,0,Blowout with fire.
98,8,03/16/11,"Devon Energy Production Co., L.P.",Drakester 209,,,707967.0,1H,Phantom (Wolfcamp),Ward,N,N,0,0,While tripping in the hole the well started unloading through the drill pipe.
99,3,03/01/11,K.O.C. CORPORATION,"Baker, Carrie",2793,,,9,Lochridge,Brazoria,N,N,0,0,Well built pressure and started blowing.
100,8,02/16/11,Occidental Permian LTD.,North Cowden Unit,20164,,,796,"Cowden, North",Ector,N,N,0,0,Leaking flowline was shut in due to a leak and well started spraying. Killed well with mud.
101,8,02/14/11,Occidental Permian LTD.,North Cowden Unit,20164,,,269,"Cowden, North",Ector,N,N,0,0,Leaking flowline was shut in for some time due to a leak and well pressured up and blew out. Intially it was just a spray of oil and then all CO2 gas. Killed well with mud.
102,3,02/14/11,"Murphy Energy Services, L.P.",Elise Fee NCT,,,704707.0,2,"Saratoga, West",Hardin,Y,N,0,0,Drilling out cement plug when well came in.
103,8,01/20/11,Endeavor Energy Resources L.P.,Lewellen,,,708322.0,2,Brasher (Atoka),Midland,N,N,0,0,While drilling well an air pocket ant the well belw out Yates gas and across CR1150. Highway and CR 1150 closed for a few hours.
104,8,01/12/11,Occidental Permian LTD,North Cowden Unit,20164,,,198,"Cowden, North",Ector,N,Y,0,0,Tubing parted beneath the ground level.
0,5,12/8/2010,XTO Energy,Elvin Barnett,,,697695.0,9,Bald Prairie,Robertson,N,N,0,0,Well kicked during drilling. Closed BOPs but they did not hold.
1,7C,12/3/2010,COG Operating,Ellie Lease,16859,,,1415,,Upton,Y,N,1,0,"Gas kicked and ignited, injuring one man."
2,1,11/14/2010,"Virtex Operating Company, Inc.","Charles A. Beaver, Sr.",11432,,,1,Uknown,Frio,N,Y,0,0,Virtex was drilling new well about 50 +/- feet away from old well and old well blew out. CR 1581 closed.
3,8,11/9/2010,Kinder Morgan Production Co LLC,Yates Fiedl Unit,24061,,,21C28,Yates,Pecos,N,Y,0,0,All county road and lease roads leading to the well area were blocked off. Well kicked while being converted from production to C02 injection well. Operator pumped rubber into well in order to plug leaking BOP and then regained control of well.
4,8A,11/10/2010,Occidental Permian,Denver Unit,18910,,,2505W,Wasson,Yoakum,N,N,0,0,A well runner was making an attempt to close off tubing valve after a needle valve had broken off. New valve connection was placed at the top of wellhead to regain control.
5,8,11/10/2010,Apache Corporation,East Mallett Unit,15298,,,14,Slaughter,Cochran,N,Y,0,0,Well kicked when pulling out tubing. Able to gain control of well by pumping mud and with Blowout preventer.
6,8,9/29/2010,Occidental Permian LTD,Levelland Unit,3780,,,853,Levellalnd,Hockley,N,N,0,0,Replacing packing when well blew out. Well pressured up and blew the packing rubbers.
7,8,9/22/2010,Kinder Morgan Production Co. LLC,Sacroc Unit,3137,,,257-04,Kelly Snyder,Scurry,N,N,0,0,Hole in the surface casing. (Well was being used as a disposal well.
8,3,9/22/2010,Unit Petroleum Company,Blackstone- Duff gas unit,193840,,,1,Villiage Mills Deep (WX Cons.),Hardin,N,N,0,0,Workover operations were finished at 5:00 pm and well appeared to be stable. At around 8:00 a homeowner in the area called in the blowout.
9,9,6/17/2010,Wilcox,"Johnson, LK",,,692937.0,302,Wildcat (4999),Foard,N,N,0,0,"Operator perforated hole w/ water @ 3,472' and gas came in, operator was expecting oil from the zone.Well was shut-in with BOP."
10,2,5/21/2010,XTO Energy,Sibley Estate,,,177228.0,8,Wildcat,Lavaca,N,N,0,0,After drilling out the plug the well came in blowing gas over the derrick crown. The BOPs were shut in but failed.
11,1,5/17/2010,Anamdarko E&P Co. LP,Tovar West-Lloyd,,,693949.0,1H,Brisco Ranch (Eagleford),Maverick,N,N,0,0,While pulling out 2 joints the well came in and unloaded.
12,4,5/5/2010,Sanchez Oil & Gas Corporation,La Pita,,,692752.0,2,Wildcat,Cameron,N,N,0,0,When pipe was cut well began flowing and BOPs failed to close.
13,2,4/2/2010,Lavaca River Operating Co. LLC,Reid,,,689970.0,1,Wildcat,Lavaca,N,N,0,0,Operator was tripping the drill pipe and gas began to kick.
